City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
115,dalandzadgad,43.5708,104.425,291.16,37,14,2.47,MN,1686078390
116,tyler,32.3513,-95.3011,304.5,56,0,1.34,US,1686078233
117,crucecita,-28.95,-58.9833,301.12,47,0,5.02,AR,1686078525
118,parola,20.8833,75.1167,306.46,36,21,5.59,IN,1686078525
119,loudeac,48.1783,-2.7543,287.97,83,0,5.66,FR,1686078525
120,piti village,13.4626,144.6933,301.64,89,0,5.66,GU,1686078525
121,iskateley,67.6803,53.1512,277.88,84,98,6.38,RU,1686078353
122,megion,61.0296,76.1136,292.16,47,1,3.08,RU,1686078525
123,swakopmund,-22.6833,14.5333,287.03,85,0,1.09,NA,1686078525
124,rawson,-43.3002,-65.1023,289.14,28,0,11.76,AR,1686078393
125,lompoc,34.6391,-120.4579,292.47,79,100,5.81,US,1686078309
126,laranjeiras do sul,-25.4078,-52.4161,294.01,59,2,1.84,BR,1686078526
127,port lincoln,-34.7333,135.8667,289.76,80,13,4.18,AU,1686078326
128,carnarvon,-24.8667,113.6333,291.97,58,70,5.38,AU,1686078095
129,amahai,-3.3333,128.9167,298.49,87,100,1.22,ID,1686078383
130,sarandi grande,-33.7333,-56.3333,292.84,65,29,4.59,UY,1686078526
131,pervomayskoye,43.919,46.7102,295.14,36,99,2.97,RU,1686078526
132,aroma,15.8167,36.1333,307.46,34,90,4.41,SD,1686078527
133,vilyuchinsk,52.9306,158.4028,282.3,85,79,2.98,RU,1686078385
134,ribeira grande,38.5167,-28.7,293.37,64,40,8.94,PT,1686078338
135,isafjordur,66.0755,-23.124,277.17,81,100,3.6,IS,1686078251
136,richards bay,-28.783,32.0377,292.74,75,0,6.65,ZA,1686078120
137,montrose,38.4166,-108.2673,294.82,26,74,2.95,US,1686078527
138,lihue,21.9789,-159.3672,298.91,77,3,3.88,US,1686078155
139,nadym,65.5333,72.5167,288.21,52,40,3.44,RU,1686078348
140,vorgashor,67.5833,63.95,280.6,85,100,3.93,RU,1686078340
141,i-n-salah,27.1935,2.4607,309.32,14,100,5.05,DZ,1686078391
142,lucapa,-8.4192,20.7447,298.52,33,93,1.04,AO,1686078259
143,mananjary,-21.2167,48.3333,294.6,88,1,0.86,MG,1686078528
144,altai,46.3722,96.2583,286.27,43,1,2.36,MN,1686078262
145,porto belo,-27.1578,-48.5531,298.59,74,6,4.36,BR,1686078528
146,mount pearl,47.5166,-52.7813,283.44,98,100,6.17,CA,1686078243
147,hithadhoo,-0.6,73.0833,301.61,76,15,3.67,MV,1686078418
148,zhangatas,43.5667,69.75,299.77,18,4,2.56,KZ,1686078529
149,motygino,58.1831,94.7592,288.03,94,99,1.37,RU,1686078382
150,lebu,-37.6167,-73.65,286.78,77,100,2.76,CL,1686078354
151,cidreira,-30.1811,-50.2056,292.4,73,1,5.42,BR,1686078253
152,cambria,35.5641,-121.0808,288.99,85,100,0.89,US,1686078530
153,kavaratti,10.5669,72.642,302.92,75,88,8.14,IN,1686078248
154,hawaiian paradise park,19.5933,-154.9731,299.2,85,100,2.2,US,1686078247
155,punta arenas,-53.15,-70.9167,280.21,65,75,8.75,CL,1686078349
156,whistler,50.1164,-122.9695,300.13,24,1,0.38,CA,1686078531
157,port alfred,-33.5906,26.891,290.74,41,0,3.27,ZA,1686078152
158,qaqortoq,60.7167,-46.0333,276.09,89,100,0.46,GL,1686078339
159,coronel dorrego,-38.7187,-61.2873,291.11,62,100,6.52,AR,1686078531
160,lao cai,22.4833,103.95,297.67,97,89,0.52,VN,1686078531
161,pula,44.8683,13.8481,292.46,88,20,1.54,HR,1686078482
162,ancud,-41.8697,-73.8203,283.74,75,18,3.05,CL,1686078411
163,paita,-5.0892,-81.1144,299.54,67,76,5.63,PE,1686078532
164,prince rupert,54.3161,-130.3201,285.94,69,100,2.76,CA,1686078473
165,carrigaline,51.8117,-8.3986,288.01,72,20,5.14,IE,1686078532
166,ostrow mazowiecka,52.8024,21.8951,291.83,63,51,3.21,PL,1686078532
167,kabo,7.6994,18.629,296.69,86,100,0.93,CF,1686078532
168,tsiombe,-25.3,45.4833,293.44,96,4,2.8,MG,1686078440
169,ruza,55.699,36.1952,284.0,83,28,2.11,RU,1686078532
170,vila velha,-20.3297,-40.2925,297.56,62,20,5.14,BR,1686078250
171,ponta delgada,37.7333,-25.6667,291.55,94,75,13.89,PT,1686078397
172,northam,51.0333,-4.2167,290.51,72,2,5.03,GB,1686078341
173,ubajara,-3.8544,-40.9211,298.45,60,35,2.47,BR,1686078533
174,utrik,11.2278,169.8474,300.78,84,85,8.47,MH,1686078379
175,hasaki,35.7333,140.8333,292.16,94,83,5.98,JP,1686078369
176,pagar alam,-4.0167,103.2667,293.11,98,27,1.19,ID,1686078533
177,fortuna,40.5982,-124.1573,287.66,87,75,3.09,US,1686078343
178,tabou,4.423,-7.3528,298.86,88,100,4.4,CI,1686078533
179,sitka,57.0531,-135.33,283.09,81,75,0.0,US,1686078534
180,hadibu,12.65,54.0333,302.82,77,70,3.47,YE,1686078249
181,khanty-mansiysk,61.0042,69.0019,287.21,62,0,0.0,RU,1686078493
182,ambon,-3.6954,128.1814,301.41,77,40,2.06,ID,1686078363
183,olyokminsk,60.3736,120.4264,278.15,77,96,1.96,RU,1686078395
184,kutum,14.2,24.6667,295.15,62,100,3.98,SD,1686078534
185,nemuro,43.3236,145.575,283.66,92,100,4.42,JP,1686078333
186,ebaye,8.7748,167.7392,300.16,83,40,7.06,MH,1686078535
